Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        193   C0 0002E9B0 GetLargestConsoleWindowSize
        194   C1 00009520 GetLastError
        195   C2 000035F0 GetLocalTime
        196   C3 00034280 GetLocaleInfoW
        197   C4 00015340 GetLogicalDriveStringsA
        198   C5 000153D0 GetLogicalDriveStringsW
        199   C6 00003560 GetLogicalDrives
        200   C7 00010170 GetMailslotInfo
        201   C8 00010CE0 GetModuleFileNameA
        202   C9 00010B40 GetModuleFileNameW
        203   CA 00010DB0 GetModuleHandleA
        204   CB 00010E40 GetModuleHandleW
        205   CC 00012A50 GetNamedPipeHandleStateA
        206   CD 00012B70 GetNamedPipeHandleStateW
        207   CE 00012FB0 GetNamedPipeInfo
        208   CF 0001C5A0 GetNextVDMCommand
        209   D0 0002E880 GetNumberOfConsoleFonts
        210   D1 0002E8E0 GetNumberOfConsoleInputEvents
        211   D2 0002EC20 GetNumberOfConsoleMouseButtons
        212   D3 000318F0 GetOEMCP
        213   D4 00009570 GetOverlappedResult
        214   D5 00018840 GetPriorityClass
        215   D6 00006200 GetPrivateProfileIntA
        216   D7 000064F0 GetPrivateProfileIntW
        217   D8 000063F0 GetPrivateProfileSectionA
        218   D9 00006720 GetPrivateProfileSectionW
        219   DA 00006280 GetPrivateProfileStringA
        220   DB 000065C0 GetPrivateProfileStringW
        221   DC 00010F60 GetProcAddress
        222   DD 0000FF70 GetProcessHeap
        223   DE 00018C50 GetProcessShutdownParameters
        224   DF 00018E80 GetProcessTimes
        225   E0 000060A0 GetProfileIntA
        226   E1 00006150 GetProfileIntW
        227   E2 00006110 GetProfileSectionA
        228   E3 000061C0 GetProfileSectionW
        229   E4 000060C0 GetProfileStringA
        230   E5 00006170 GetProfileStringW
